753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753658.28,-2.30,-2.30,50.00,5.31,40.00,74.74,0.37,28.53,21.91,-15.00,5.00,-0.01,3583831664.47,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753658.28,-2.30,-2.30,50.00,5.31,40.00,74.74,0.37,28.53,21.91,-15.00,5.00,-0.01,3583831664.47,0.00
753660.14,-2.40,-2.40,50.00,5.31,40.00,74.74,0.37,28.63,21.91,-15.00,5.00,-0.01,3583831666.32,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753658.28,-2.30,-2.30,50.00,5.31,40.00,74.74,0.37,28.53,21.91,-15.00,5.00,-0.01,3583831664.47,0.00
753660.14,-2.40,-2.40,50.00,5.31,40.00,74.74,0.37,28.63,21.91,-15.00,5.00,-0.01,3583831666.32,0.00
753661.98,-2.50,-2.50,50.00,5.31,40.00,74.74,0.37,28.73,21.91,-15.00,5.00,-0.01,3583831668.17,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753658.28,-2.30,-2.30,50.00,5.31,40.00,74.74,0.37,28.53,21.91,-15.00,5.00,-0.01,3583831664.47,0.00
753660.14,-2.40,-2.40,50.00,5.31,40.00,74.74,0.37,28.63,21.91,-15.00,5.00,-0.01,3583831666.32,0.00
753661.98,-2.50,-2.50,50.00,5.31,40.00,74.74,0.37,28.73,21.91,-15.00,5.00,-0.01,3583831668.17,0.00
753663.60,-2.60,-2.60,50.00,5.31,40.00,74.74,0.37,28.83,21.91,-15.00,5.00,-0.01,3583831669.78,0.00
753651.84,-2.10,-2.10,1.43,5.31,40.00,74.74,0.38,28.33,21.91,-15.00,5.00,-0.01,3583831658.02,0.00
753656.20,-2.20,-2.20,25.00,5.31,40.00,74.74,0.37,28.43,21.91,-15.00,5.00,-0.01,3583831662.39,0.00
753658.28,-2.30,-2.30,50.00,5.31,40.00,74.74,0.37,28.53,21.91,-15.00,5.00,-0.01,3583831664.47,0.00
753660.14,-2.40,-2.40,50.00,5.31,40.00,74.74,0.37,28.63,21.91,-15.00,5.00,-0.01,3583831666.32,0.00
753661.98,-2.50,-2.50,50.00,5.31,40.00,74.74,0.37,28.73,21.91,-15.00,5.00,-0.01,3583831668.17,0.00
753663.60,-2.60,-2.60,50.00,5.31,40.00,74.74,0.37,28.83,21.91,-15.00,5.00,-0.01,3583831669.78,0.00
753666.60,-2.70,-2.70,33.33,5.31,40.00,74.74,0.37,28.93,21.91,-15.00,5.00,-0.01,3583831672.78,0.00
