Time(msecs),Uncorrected Depth,Corrected Depth,Drive_Rate,Flow,Feet_of Stainless,Up Hole Pressure,IK,Corrected Pressure,Atm Pressure,Depth to water,Height of box,Res_Pressure,Secs_since_1_JAN_1904,Depth jumps more than 1_foot,Down hole Pressure
939325.00,-31.84,-31.84,0.00,0.18,0.00,28.97,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017331.19,0.00,4.16
939328.62,-31.94,-31.94,27.65,0.18,0.00,28.98,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017334.81,0.00,2.83
939331.25,-32.04,-32.04,37.98,0.18,0.00,28.97,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017337.44,0.00,12.81
939336.20,-32.14,-32.14,20.20,0.18,0.00,28.98,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017342.39,0.00,2.56
939338.84,-32.24,-32.24,37.85,0.18,0.00,28.99,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017345.03,0.00,2.64
939340.83,-32.34,-32.34,50.40,0.18,0.00,28.98,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017347.02,0.00,4.17
939342.82,-32.44,-32.44,50.20,0.18,0.00,28.95,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017349.01,0.00,4.01
939344.47,-32.54,-32.54,60.46,0.18,0.00,28.98,0.01,34.47,28.99,-0.00,5.50,-0.02,3584017350.66,0.00,2.18
