Time(msecs),Uncorrected Depth,Corrected Depth,Drive_Rate,Flow,Feet_of Stainless,Up Hole Pressure,IK,Corrected Pressure,Atm Pressure,Depth to water,Height of box,Res_Pressure,Secs_since_1_JAN_1904,Depth jumps more than 1_foot,Down hole Pressure
939907.69,-31.84,-31.84,0.00,0.18,0.00,29.07,0.01,34.56,29.05,-0.00,5.50,0.01,3584017913.88,0.00,4.49
939911.99,-31.94,-31.94,23.26,0.18,0.00,29.07,0.01,34.56,29.05,-0.00,5.50,0.01,3584017918.18,0.00,7.55
939925.82,-32.04,-32.04,7.23,0.18,0.00,29.05,0.01,34.56,29.05,-0.00,5.50,0.01,3584017932.01,0.00,2.31
